content,score,Sentimen
"Payahhhhh sekali apk ini masa tiba"" Di blokir permanen paylater ya padahal telat cuma 1 hari.... Wajar lah klo telat 1 hari iyah Sudah karena tidak Ada gunanya saya uninstall saya apknya",1,Negatif
"Kenapa paylater bukalapak tak bisa digunakan lagi, limid ada active...gk jelas bangt dah.",1,Negatif
Dulu seneng banget pake aplikasi ini. Tapi semenjak ongkir menjadi gak masuk akal dan potongan ongkir gak ada udah jadi malas make ni aplikasi. Sekarang nyaman di toko orenz. Semoga BL bisa bertahan dalam persaingan dan bisa kasih promo ongkir lebih baik dari toko orenz.,1,Negatif
"Aplikasi yang sangat bagus, dapat memudahkan kita mau berbelanja apa saja",5,Positif
Kawan-kawan...mari sama-sama kita lakukan gerakan gagal bayar paylater Bukalapak via kredivo Krn sekarang tidak bisa di gunakan lagi,1,Negatif
Eh PT bukalapak kembalikan uang saya. ini pa yg saya beli gak tau tiba tiba saldo di potong seenak jidat..e kamu maling . Kalian penipu semua PT bukalapak se enak jidat potong saldo Tampa kompirmasi seenak jidat anda potong saldo penipu pencuri,1,Negatif
Pay later tidak bisa dipakai.limit gak naik2 padahal saya pengguna lama.bayar gak pernah telat.,1,Negatif
"kenapa payleter kredivo nggak bisa digunakan bro, kasih tahu lah alasannya jangan diam-diam nggak bisa dipakai profesional dikit lah",2,Negatif
Sudah lebih baik semoga bukalapak kedepan makin maju dan makin profesional menjadi lapak terbaik,5,Positif
"Buka Bukalapak langsung di suruh update, lalu tambah Dana, lalu update Bukalapak, lalu beli listrik, sampai 5 x percobaan tdk bisa beli, di percobaan ke 4 atau 5 beli pakai Voucherku, lalu hp di matikan, lalu di nyalakan, masuk semua notifikasi pembelian, sy cari voucher ku ternyata sdh terpakai alias hilang, sy ambil pembelian yg ke 4 ternyata sy beli tanpa voucherku, lalu batal dpt cashback, kok jd ribet sich..??? Jgn terlalu ribet lah, tetangga sebelah app mereka tdk se ribet ini.",5,Positif
"Kecewa...Sekarang pembayaran limit paylater kredivo nya sdh tidak bisa di pake lagi, gangguan sistem terus, padahal bayar selalu tepat waktu....",1,Negatif
semakin anjlok fitur dan pelayanannya....terpaksa turun bintang 1 aja....paylater sudah tidak ada arti,1,Negatif
"Belanja disini saldo udah kepotong, tapi status pembayaran masih menunggu, DUIT HILANG BEGITU AJA.",1,Negatif
"Bertahun tahun pakai bukalapak, sekarang bayar tagihan listrik dan pulsa prabayar tidak bisa pakai paylater??",1,Negatif
"Kenapa saya tidak bisa masuk ke aplikasinya,,padahal sudah update terbaru,, saat masuk langsung keluar,,itu sangat meresahkan dan mengkhawatirkan",1,Negatif
Biasanya paylatter bisa kepakai knapa ini gak bisa dipakai lagi....tagihan udah lunas dan limitpun sdah kembali. Apa2an ini...min,2,Negatif
paylater sudah tidak bisa digunakan lagi.... tutup akun saja saya sudah mengajukan penutupan akun pada tanggal 19/06/2024 pada jam 12:27 dibantu cs OLVIA dibantu utk dipercepat prosesnya,5,Positif
Kenapa lagi ini paylater..bayar selalu ontime paling telat 1hari Karna lupa..tapi selalu bayar..eh skrg malah tidak bisa digunakan..dlu suka pakai Bukalapak Karna ada paylater dan tanpa bunga lagi...jadi kecewa paylater tidak bisa digunakan,2,Negatif
"Barang yang dtampilkan di beranda cuma sedikit, padahal yang dijual banyak. Harus utakatik filter dulu baru barangnya keluar semua. Tolong lah dibenerin",1,Negatif
Kenapa paylater by kredivo tidak bisa untuk pembelian pulsa dan token listrik,5,Positif
"Aplikasinya ribet banget mau ganti nomor atau GK email harus pake KTP , materai,Selfi kaya mau daftar pinjol aja . ribet banget GK kaya aplikasi belanja online sebelah",1,Negatif
"saya customer... pembayaran kredivo sukses di Indomaret, u.. tapi diaplikasi BL, belom lunas .. malah tlpon dan chatnya robot.... aplikasi mulai bobroookkkkkkk..",5,Positif
"Kenapa saldo dana saya bisa membayar tagihan sendiri padahal saya tidak punya tagihan&transaksi membayar,,tolong dong di kembalikan saldo dana saya,,mlh akun saya di non aktifkan",1,Negatif
Limit aktif tapi gak bisa dipakai sudah mau 2bln ini kenapa gak da pemberitahuan yg jelas😡😡😕😊😊😊😊😊😊,2,Negatif
Aplikasi apaan??.. giliran tagihannya mau dibayar error mulu sampe lewat temponya akhirnya kena denda.. udah disabar2in di ikhlas2in eh pas mau dipake lagi udah gak bisa digunain.. Laah penggunanya udah sabar aplikasinya yg ambekan !!,1,Negatif
"Payleter sudah di bayar dan gak telat,malah gak bisa di pakai lagi,,apa-apaan ini?",1,Negatif
Sekarang mulai ngk bagus buka lapak..paylater sudah lunas limit balik tapi mau di pake lagi tidak bisa...JELEK,1,Negatif
History komplain tidak muncul walaupun sudah melakukan komplain.,1,Negatif
Susah daftarnya ribet harus punya nmor hp tersendiri. Mangnya hpl nyimpen beberapa kartu gtu wah pokonya ribet ribet tibet,1,Negatif
Ada kredivo paylater ga guna.. Limit ga pernah nambah.. Sekarang parahnya ga bs dipake buat apapun.. Bayar ga pernah telat.. Tp paylater kredivo ga bs dipake.. Ya uda intinya ga boleh ngutang.. Apa harus uninstall aplikasi bukalapak ya..,1,Negatif
"Tagihan sudah di bayar dan limit sudah kembali . Tapi pas mau di pakai lagi paylater Bukalapak malah gak bisa sudah hampir 1bulan , konyol . Sudah di hapus di instal lagi dihapus di instal lagi hampir 10kali masih tetep pembayaran paylater Bukalapak tetep ga bisa . Diketerangan sedang terjadi gangguan sistem , sistem hancur kacau !!!!",1,Negatif
"Sulit untuk daftar di bukatabungan, ribet banget aplikasi lokal bukanya bangga malah kecewa",1,Negatif
Pelayanan komplain buruk. Saat komplain tidak senyaman aplikasi lainnya seperti shopee lazada Tokopedia. Pengalaman saya saat komplain kurang barang dan paket tidak segel seperti dilakban ulang. Pelakunya adalah ekspedisi antaraja maling. Bodohnya lagi udah ada kesepakatan uang kembali ke pembeli karena barang kurang. Malah pembeli suruh mengirim barang ke penjual.apanya yg mau dikirim. Ini gemana konsepnya. Buruk banget pokoknya ini aplikasi.,4,Positif
"Ada limit bukalapak paylater tapi tidak bisa digunakan, payah!!! Auto uninstall!!!",1,Negatif
"Heran. Mau nyari senapan angin aja ngak ada yg jual di situs ini tolol bgt persis sama kayak si Shopee sialan, emang paling enak belanja di tokopedia karna serba",1,Negatif
"1. Sistem paylater limit aktif tpi gak bisa di pake, gangguan mulu 2. Satu²nya apk yg gak ada cs aktif ( gak ada duit bayar karyawan kali ) 3. Barang atau toko banyak yg gk nerima sistem cod 4. Buka expres gak guna sma sekali 5. Promo ongkir gak pernah ada. Ninggal nunggu waktu aja ini apk, lebih sekarat apk ini dri tokped. Selamat munuju kebangkrutan Bukalapak, udh bertahun² make apk ini sekrang mending shopee lah. Ke unggulan apk ini, bisa beli CHIP higs domino slot pake paylater itu doang 🤣",1,Negatif
"Mau jualan ribet banget, upload foto ga boleh lebih 1mb, harus burik kali",1,Negatif
Kenapa paylater ny tidak bisa dipakai gangguan sistem terus,4,Positif
Gw udh enggk ada tagihan kenapa enggak bisa pake paylater buka lapak,1,Negatif
"Ini apa apaan ya buka lapak ,saya kaitkan tautan dari dana ke sini kok saldo dana saya malah kepotong Rp.105.430 yang satu topup ovo yg satu pulsa 5rb Nomor nya juga saya ga kenal lagi",1,Negatif
"Bertahun tahun pakai BL, gk ada masalah dan gk pernah ada keterlambatan pembayaran. Entah knpa sekarang paylater nya gk bs digunakn. Kecewa bgt..",5,Positif
Katanya aplikasi terbesar... Tapi kok masih kerjama sama... Sama oknum penipu .. sama oknum perampok... Kemanan nya pun buruk... Komplain nan buruk... Gak bisa menjaga akun pelanggan nya,1,Negatif
Ayo semarak lagi promo²nya BUKALAPAK. Harga dan kualitas bersaing tebaik dah. Oke Gas,5,Positif
Saya sih kurang paham dengan aplikasi Bukalapak kurang pahamnya apa Saya mau buat konfirmasi pesanan yang sudah saya terima tapi harus buat laporan ke CS Bukalapak terlebih dahulu baru bisa direspon Saya tidak lagi menggunakan aplikasi ini karena saya tidak paham menggunakannya,4,Positif
Paylater tidak bisa di gunakan padahal pembayar nya hampir tak pernah telat . Parah . Males make buka lapak lagi . Uninstal aja . Paylaternya sudah tidak bisa di gunakan u ntuk pulsa dan token . Sudaj tidak bisa membantu . Otw pi dah ke olshop lain aja yg ada paylatermya. By by buka lapak . Uninstal,1,Negatif
Senang menggunakan aplikasi ini bisa bebas pilih jasa pengiriman dan pengalaman berbelanja menyenangkan,4,Positif
"Cari titik kordinatnya masih ribet dan tidak bisa otomatis mencari sendiri,jadi harus secara manual dan gambarnya mapnya tidak bisa di ubah jadi satelit.Alamat rumah saya tidak di temukan,payah",1,Negatif
"Sangat bagus, dan banyak promonya",5,Positif
Kenapa paylaternya gangguan sistem ajj buat beli apa2 enggk bisa truz buat apa limitnya boss,1,Negatif
"Paylater by kredivo sudah gak bisa di gunakan, kenapa masih di pajang di aplikasi🤣🤣🤣",1,Negatif
"Adain reward lagi dong , udh belanja banyak nih . bayar nanti kapan bisa digunakan lagi ??? masih gangguan gk bisa belanja dah",4,Positif
"Biar hubungi cs tidak bisa, Tokopedia, shhope terbaik memang",1,Negatif
belanja terus di sini gak pernah kecewa..kapan kemarin terakhir belanja kecewa pakek berat..tidak bisa banding dengan saat komplen..saya di tipu tapi pelapak masi bebas berdagang..semoga cepat bangkrut..,1,Negatif
"Sangat kecewa dgn paylatter nya, kadang bisa kadang kagak untuk kegunaannya, parahnya lagi disaat mau bayar tagihan suka error dgn alasan perbaikan system, akhir sy telat bayar dan sering kena denda, tolong diperbaiki system pelayanannya..tks 🤨",2,Negatif
"Pengajuan gak di respon sama sekali gak ad tangung jawabnya,nungguin lama berjam² malah responnya gmau tanggung jawab,kn kita dsini pengajuan lantaran pembayarannya gtau menau tiba2 saldo ilang masuk k bukalapak",1,Negatif
"PERTIMBANGKAN JIKA AKAN JADI SELLER disini...!!! Sudah lama jadi Seller disini, tiap hari upload.. Jumlah product sudah diatas 100.. Tanpa pemberitahuan .. TOKO DI BEKUKAN Secara sepihak .. Tanpa ada informasi pelanggarannya,jika product ada yg melanggar,,,seharusnya product yg di Bekukan, BUKAN TOKO KITA.. Salama...!!",1,Negatif
"Ternyata telat 1 hari paylater nya langsung gak bisa dipakai lagi.. Gak asik, paylater cuma 500 rbu dari dlu padahal w pelanggan setia 5 tahun pakai aplikasi ini malah kecewa",1,Negatif
"Barang sesuai pesanan & kualitas baik, packaging rapih",5,Positif
Kenapa paylater kredivo saya tdk bisa di gunakan ya?? Keterangannya sedang terjadi gangguan sistem... Mohon penjelasannya. Terimakasih,5,Positif
Sangat baik.. berbelanja jadi lebih mudah...👍🏼👍🏼👍🏼,5,Positif
Simple dan bagus Enak belanja disini,5,Positif
"Ganti alamat email aja susahnya minta ampun. Komplen berhari-hari, minta tanda tangan, photo rekening, KTP, selfie, mutasi berubah-rubah terus. Ga sekalian aja apa selfi sama sertifikat tanah??? Market lain makin simple, ini makin ribet.",1,Negatif
Admin buka lapak mau tanya ? Ni kenapa paylaternya gangguan sistem Mulu ? Trus kira2 masih bisa di gunakan gak nanti ? klo emang dah gak bisa ya dah mau saya unistak aja soal gak berguna juga da limitnya tapi gak bisa berguna buat apa ?,1,Negatif
Bisa bisanya BukaDompet saya di bekukan padahal saldo nya sangat penting buat saya balikin lagi saldo saya!!!,1,Negatif
Apaan ini tiba-tiba paylater tidak bisa isa dipakai padahal sudah dibayar dan tidak telat tagihan tanggal 17 dibayar tanggal 12 eh tiba-tiba tidak bisa dipakai lagi aneh..,1,Negatif
Klo paylter sdh tdk bisa d gunakan.. Jgn munculkan di beranda..,2,Negatif
Kecewa karena Fitur pembayaran paylater dinonaktifkan permanen,1,Negatif
Barang bagus sesuai diskripsi,5,Positif
"kenapa setelah pembaruan tidak bisa buat belanja, padahal saya sudah bayar tagihan nya, mau buat belnja malah tidak bisa, sangat kecewa.",1,Negatif
Gak jelas buat untuk komplain tidak ada dan tiba tiba ada tagihan top e wallet pas mau komplain gak bisa,1,Negatif
"Kenapa paylaternya sedang gangguan trs sih,masak dah seminggu gangguan trs g selesai"" Mengecewakan banget",1,Negatif
Kembali full bintang klo paylatternya sudah bisa kembali,1,Negatif
Sangat mengecewakan .. saya punya saldo Dana 900.000 Kuang lebih satu hari saya cek uang saya sebesar 900.000 lenyap.. Ternyata saya telusuri ada transaksi tanpa sepengetahuan saya yang masuk ke Bukalapak..,1,Negatif
"Diantara aplikasi toko online, Kenapa Bulalapek paling sering mengharuskan penggunaan nya untuk melakukan update pembaharuan, Klo gak update aplikasi gak bs di buka, Payah bener🤦🤦",1,Negatif
"Kecewa dgn Bukalapak.Udah gak bisa gratis ongkir sekarang payletter juga udah gak bisa dipake.biasanya habis bayar payletter bisa digunakan lg.klo emang udah gak bisa digunakan lg payletternya ya udah terpaksa setelah ini akun Bukalapak saya uninstall karena belanja disini semua dipersulit dari pencarian gambar tidak tersedia,gratis ongkir tidak ada,dan sekarang payletter jg tidak bisa digunakan.Klo begini siap siap aja Bukalapak ditinggalkan sama yg lain karena fasilitasnya yg minim",2,Negatif
Sangat memudahkan pembelian secara online,5,Positif
Saya udah lunasin paylater nya malah gak bisa di pakai lagi... Untuk yg lain mending gak usah di bayar dah tagihannya dari pada gak bisa di pakai lagi,1,Negatif
"Apk ini ribet banget, gak bisa batalkan pesanan. Udah chat toko pun gak ada respon. Mau komplain ga bisa karena harus terima barang, cari cara buat hubungin CS live nya ga ada. Bener gak ada solusi sama sekali",1,Negatif
Paylater gak bisa di pake.. Bayar gak pernah telat..,1,Negatif
"Limit tidak bisa di gunakan.... Mulai hari ini... Saya sudah uninstall apk Bukalapak nya.. mohon jaga data"" saya .... Saya tidak bertanggung jawab bila nanti nya ada masalah...",1,Negatif
"Percuma ada paylater limit 500rb tapi ga bisa dipake,padahal sebelumnya bisa ko setelah updet ga bisa👎",1,Negatif
Pokoknya Bukalapak ok...proses transaksi cepat...keren...layak dapat bintang 5,5,Positif
"Kredivo nya ga bisa di pake , perbaiki segera",2,Negatif
"Awalnya salut sih tapi Udah benar-benar ada pembayaran Pake paylatter malah di putus kerjasamanya,. Harga ga bisa kasih murahh ada promo dan voucher ga bisa dipake. Mau jadi apa aplikasi mu ini. Makin kesini makin bikin kecewa aja",1,Negatif
Lumayan bagus dan cepat proses pengiriman pesanannya,5,Positif
Sangat membantu mudah di akses,5,Positif
bukalapak pelayanan nya jelek...ada sebagian lapak yg kurang respon& tidak sesuai.saya kan download bukalapak untuk beli barang bukan minta gratis. Bunga kredito paylater terlalu tinggi...bikin sengsara.,1,Negatif
"Payah... paylater nya udh gak bisa lg, susah susah buat dapet paylater . Dikit lg lumpuh.",1,Negatif
"Beli pelatihan prakerja di Bukalapak aja, fiturnya mudah dipahami dan no ribet ribet no gagal gagal. Efisien dan terbukti bisa mengikuti kelas prakerja tanpa tertinggal waktunya.",5,Positif
"Saya uninstall, tokonya pada sepi jarang aktif wkwkwk yang official aja lama gak aktif.",1,Negatif
"Pelayanan sangat bagus , memuaskan,,dan dapat dipercaya terimakasih untuk BUKALAPAK 🙏",5,Positif
"Kecewa sekali dengan aplikasi Bukalapak dari dulu sllu menggunakan aplikasi ini karna bisa beli pulsa & listrik pakai bayar tempo tapi setelah di update ke versi terbaru paylater nya jadi GK bisa di pakai untuk pembelian pulsa hanya bisa di pakai buat beli barang saja fix klo paylater GK bisa di gunakan lagi bakalan ku hapus aplikasi ini,,",1,Negatif
Udah beberapa hari paylater tidak berfungsi. Gangguan terus. Makin kesini makin tidak menarik ini Bukalapak gini-gini aja.,4,Positif
Jir ydh 4 bulan pske paylater lancar2 tapi tdi sya byar japo tgl 12 pas mau di ajuin ga bisa bacan metode pembayaran ini ridak bisa di gunakan heran bulan kemaren smpe japo baru byar di telpon cs nya jga pas habis bayar ajuin lagi bisa lah ini tumben2an ga bisa eror ap gmna hbis di uodate tadi pagi apes apes,1,Negatif
"Dikit² mau belanja update mulu. Pake app lama nggak bisa, mau update apa nggak terserah saya dong. Uninstal",2,Negatif
"Sangat membantu, mudah,tetapi paylaternya sudah tidak bisa di gunakan padahal membantu sekali...",4,Positif
gua ketipu uang gw ke sedot dan ga bisa kembali lagi lewat aplikasi dan tolong kembalikan uang sy dn itu buat biaya rumah skit org tua sy,1,Negatif
"Parah, apk paling parah. Pembeli dipersulit, komplain tidak jelas, customer service tidak ada sama sekali",1,Negatif
"Terimakasih hadiah blendernya. Skr bukalapak ongkirnya mahal, beda benar dibandingkan e-commerce2 yg lain",4,Positif
"Bukalapak sekarang jelek banget, terus setiap produk sama layanan sangat mahal, udah engga pake Bukalapak lagi sekarang.",1,Negatif
Banyak yg nanya & komplain kenapa paylater by kredivo tdk bisa digunakan sbg metode pembayaran. Tapi tdk ada jawaban yg jelas . Apa seperti ini sekarang pelayanan BUKALAPAK ???,1,Negatif
"Hallo bukalpak, saya membeli voucer game. Status dari pelapak dikirim, tp saya tidak menerima. Saya sudah klik komplain, tapi d kolom komplain tidak ada list pengajuan komplain saya. Pihak penjual juga tidak merespon. Mohon Penjelasannya.",1,Negatif
Aplikasi gak jelas tiba2 saldo di bekukan gak ada angin gak hujan tiba-tiba saldo gak bisa di pkek tolong pihak bukalapak saldo saya jngan di bekukan lagi lah klo masih blum di buka nanti di akhirat aku tagih.,1,Negatif
"Aplikasi sebesar nya ini bisa nya ada maling di dalam nya, , saldo di akun dana saya, di ambil tanpa persetujuan saya, Saya mohon itu saldo saya yang di maling kembali kan lagi, , Mohon dari pihak OJK di tindak aplikasi maling begini",1,Negatif
