content,score,Sentimen,lowerCase,text_StopWord,text_tokens,text_stemindo
Saya sangat senang sekali di akun Bukalapak memberi jaminan mutu dan kualitas terjamin aman,5,1,saya sangat senang sekali di akun bukalapak memberi jaminan mutu dan kualitas terjamin aman,senang akun bukalapak jaminan mutu kualitas terjamin aman,"['senang', 'akun', 'bukalapak', 'jaminan', 'mutu', 'kualitas', 'terjamin', 'aman']",senang akun bukalapak jamin mutu kualitas jamin aman
Apk banyak penipuan Keluhan di pusat akun Malah di nonaktifkan akunya Pokoknya aplikasi gak ada tanggung jawab nya,1,0,apk banyak penipuan keluhan di pusat akun malah di nonaktifkan akunya pokoknya aplikasi gak ada tanggung jawab nya,apk penipuan keluhan pusat akun nonaktifkan akunya pokoknya aplikasi tanggung,"['apk', 'penipuan', 'keluhan', 'pusat', 'akun', 'nonaktifkan', 'akunya', 'pokoknya', 'aplikasi', 'tanggung']",apk tipu keluh pusat akun nonaktif aku pokok aplikasi tanggung
Aplikasi paling lemot gk jelas gk niat buat aplikasi,1,0,aplikasi paling lemot gk jelas gk niat buat aplikasi,aplikasi lemot niat aplikasi,"['aplikasi', 'lemot', 'niat', 'aplikasi']",aplikasi lot niat aplikasi
Kak saya mautanya kenapa apk BUKALAPAK tiba2 menyedot saldo apk DANA saya padahal saya belum pernah order apapun di apk Bukalapak bahkan apk nya pun belum pernah saya install..mohon bantuannya agar saldo saya di kembalikan🙏🙏,1,0,kak saya mautanya kenapa apk bukalapak tiba menyedot saldo apk dana saya padahal saya belum pernah order apapun di apk bukalapak bahkan apk nya pun belum pernah saya installmohon bantuannya agar saldo saya di kembalikan,kak mautanya apk bukalapak menyedot saldo apk dana order apapun apk bukalapak apk installmohon bantuannya saldo kembalikan,"['kak', 'mautanya', 'apk', 'bukalapak', 'menyedot', 'saldo', 'apk', 'dana', 'order', 'apapun', 'apk', 'bukalapak', 'apk', 'installmohon', 'bantuannya', 'saldo', 'kembalikan']",kak mautanya apk bukalapak sedot saldo apk dana order apa apk bukalapak apk installmohon bantu saldo kembali
Bukalapak sangat berperan penting sebagai partner dari skill Academy. Menjadi jembatan untuk kita dapat membeli pelatihan yg kita inginkan. Terimakasih Bukalapak.,5,1,bukalapak sangat berperan penting sebagai partner dari skill academy menjadi jembatan untuk kita dapat membeli pelatihan yg kita inginkan terimakasih bukalapak,bukalapak berperan partner skill academy jembatan membeli pelatihan terimakasih bukalapak,"['bukalapak', 'berperan', 'partner', 'skill', 'academy', 'jembatan', 'membeli', 'pelatihan', 'terimakasih', 'bukalapak']",bukalapak peran partner skill academy jembatan beli latih terimakasih bukalapak
bos tlong diperbaiki eror terus,5,1,bos tlong diperbaiki eror terus,bos tlong diperbaiki eror,"['bos', 'tlong', 'diperbaiki', 'eror']",bos tlong baik eror
"Kecewa sama Bukalapak.. bertahun2 pake paylater Bukalapak buat beli pulsa/data , malah sekarang beli sudah tidak bisa lagi beli pulsa/data pakai paylater..padahal pembayaran Saya bagus selalu tepat waktu , Kalau beli pulsa/data tidak bisa pakai paylater lebih baik Saya beli di counter pulsa aja secara offline..lebih murah malah",1,0,kecewa sama bukalapak bertahun pake paylater bukalapak buat beli pulsadata  malah sekarang beli sudah tidak bisa lagi beli pulsadata pakai paylaterpadahal pembayaran saya bagus selalu tepat waktu  kalau beli pulsadata tidak bisa pakai paylater lebih baik saya beli di counter pulsa aja secara offlinelebih murah malah,kecewa bukalapak bertahun paylater bukalapak beli pulsadata beli beli pulsadata pakai paylaterpadahal pembayaran bagus beli pulsadata pakai paylater beli counter pulsa offlinelebih murah,"['kecewa', 'bukalapak', 'bertahun', 'paylater', 'bukalapak', 'beli', 'pulsadata', 'beli', 'beli', 'pulsadata', 'pakai', 'paylaterpadahal', 'pembayaran', 'bagus', 'beli', 'pulsadata', 'pakai', 'paylater', 'beli', 'counter', 'pulsa', 'offlinelebih', 'murah']",kecewa bukalapak tahun paylater bukalapak beli pulsadata beli beli pulsadata pakai paylaterpadahal bayar bagus beli pulsadata pakai paylater beli counter pulsa offlinelebih murah
"Selama ini beli pulsa pake paylater bisa , tapi kenapa sekarang tidak bisa",2,0,selama ini beli pulsa pake paylater bisa  tapi kenapa sekarang tidak bisa,beli pulsa paylater,"['beli', 'pulsa', 'paylater']",beli pulsa paylater
"Sangat tidak recommended untuk belanja online. Gak ada gratis ongkir sama voucher potong harga, yang terbaik cuma toko hijau, oren, sama laz. Kalau ga ada perkembangan saya yakin cepat atau lambat bakal bangkrut",1,0,sangat tidak recommended untuk belanja online gak ada gratis ongkir sama voucher potong harga yang terbaik cuma toko hijau oren sama laz kalau ga ada perkembangan saya yakin cepat atau lambat bakal bangkrut,recommended belanja online gratis ongkir voucher potong harga terbaik toko hijau oren laz perkembangan cepat lambat bangkrut,"['recommended', 'belanja', 'online', 'gratis', 'ongkir', 'voucher', 'potong', 'harga', 'terbaik', 'toko', 'hijau', 'oren', 'laz', 'perkembangan', 'cepat', 'lambat', 'bangkrut']",recommended belanja online gratis ongkir voucher potong harga baik toko hijau oren laz kembang cepat lambat bangkrut
"Lama lama gak profesional. Bayar tidak pernah lewat dari waktu yg di tentukan ,malah tidak bisa gunain saldonya .ih malesin banget .",1,0,lama lama gak profesional bayar tidak pernah lewat dari waktu yg di tentukan malah tidak bisa gunain saldonya ih malesin banget ,profesional bayar tentukan gunain saldonya ih malesin banget,"['profesional', 'bayar', 'tentukan', 'gunain', 'saldonya', 'ih', 'malesin', 'banget']",profesional bayar tentu gunain saldo ih malesin banget
Gunakan pembayaran via paylater by kredivo tapi kenapa tidak bisa digunakan.....tolong dibantu tks..,5,1,gunakan pembayaran via paylater by kredivo tapi kenapa tidak bisa digunakantolong dibantu tks,pembayaran via paylater by kredivo digunakantolong dibantu tks,"['pembayaran', 'via', 'paylater', 'by', 'kredivo', 'digunakantolong', 'dibantu', 'tks']",bayar via paylater by kredivo digunakantolong bantu tks
Mau jadi seller aja acc nya susah banget pantes ga bisa maju wong yang jual produknya terbatas,1,0,mau jadi seller aja acc nya susah banget pantes ga bisa maju wong yang jual produknya terbatas,seller acc susah banget pantes maju jual produknya terbatas,"['seller', 'acc', 'susah', 'banget', 'pantes', 'maju', 'jual', 'produknya', 'terbatas']",seller acc susah banget pantes maju jual produk batas
Paylater tdk bisa di gunakan pertanda apa ya? pindah dulu ke aplikasi sebelah yg masih lancar jaya,1,0,paylater tdk bisa di gunakan pertanda apa ya pindah dulu ke aplikasi sebelah yg masih lancar jaya,paylater pertanda pindah aplikasi sebelah lancar jaya,"['paylater', 'pertanda', 'pindah', 'aplikasi', 'sebelah', 'lancar', 'jaya']",paylater tanda pindah aplikasi belah lancar jaya
aplikasi ini kebiasaan mencuri uang saya di dana sblum nya saya tidak pernah ada pinjaman apapun tidak pernah ilang saldo ini aplikasi kaya taik!!!! Balikkin saldo gw,1,0,aplikasi ini kebiasaan mencuri uang saya di dana sblum nya saya tidak pernah ada pinjaman apapun tidak pernah ilang saldo ini aplikasi kaya taik balikkin saldo gw,aplikasi kebiasaan mencuri uang dana sblum pinjaman apapun ilang saldo aplikasi kaya taik balikkin saldo gw,"['aplikasi', 'kebiasaan', 'mencuri', 'uang', 'dana', 'sblum', 'pinjaman', 'apapun', 'ilang', 'saldo', 'aplikasi', 'kaya', 'taik', 'balikkin', 'saldo', 'gw']",aplikasi biasa curi uang dana sblum pinjam apa ilang saldo aplikasi kaya taik balikkin saldo gw
"Aplikasi yg sangat bagus, lebih bagus lg klu Limitnya di Naikin alias ditambah.",5,1,aplikasi yg sangat bagus lebih bagus lg klu limitnya di naikin alias ditambah,aplikasi bagus bagus klu limitnya naikin alias ditambah,"['aplikasi', 'bagus', 'bagus', 'klu', 'limitnya', 'naikin', 'alias', 'ditambah']",aplikasi bagus bagus klu limit naikin alias tambah
Transaksi mudah lancar tks bukalapak kredivo.,5,1,transaksi mudah lancar tks bukalapak kredivo,transaksi mudah lancar tks bukalapak kredivo,"['transaksi', 'mudah', 'lancar', 'tks', 'bukalapak', 'kredivo']",transaksi mudah lancar tks bukalapak kredivo
Maaf ya d ganti rating nya karna paylater nya gak bisa d pake lagi . Tau gtu ntar2n bayar nya,1,0,maaf ya d ganti rating nya karna paylater nya gak bisa d pake lagi  tau gtu ntarn bayar nya,maaf d ganti rating karna paylater d tau gtu ntarn bayar,"['maaf', 'd', 'ganti', 'rating', 'karna', 'paylater', 'd', 'tau', 'gtu', 'ntarn', 'bayar']",maaf d ganti rating karna paylater d tau gtu ntarn bayar
"Saya biasa menggunakan PAYLATER BUKALAPAK by Kredivo hanya untuk Beli Token Listrik dan Paket Data internet. Entah kenapa sejak akhir bulan MEI sudah tidak bisa beli token Listrik dan Paket data. Mulai detik ini saya UNINSTALL BUKALAPAK, APLIKASI TIDAK BERMUTU",1,0,saya biasa menggunakan paylater bukalapak by kredivo hanya untuk beli token listrik dan paket data internet entah kenapa sejak akhir bulan mei sudah tidak bisa beli token listrik dan paket data mulai detik ini saya uninstall bukalapak aplikasi tidak bermutu,paylater bukalapak by kredivo beli token listrik paket data internet mei beli token listrik paket data detik uninstall bukalapak aplikasi bermutu,"['paylater', 'bukalapak', 'by', 'kredivo', 'beli', 'token', 'listrik', 'paket', 'data', 'internet', 'mei', 'beli', 'token', 'listrik', 'paket', 'data', 'detik', 'uninstall', 'bukalapak', 'aplikasi', 'bermutu']",paylater bukalapak by kredivo beli token listrik paket data internet mei beli token listrik paket data detik uninstall bukalapak aplikasi mutu
"Sering belanja pulsa listrik dan bayar air tapi sekarang play later kredivo saya sudah dibekukan tidak bisa digunakan lagi meski lancar pembayaran,. Ok terimakasih Bukalapak saya sudah dari 2016 langganan.",5,1,sering belanja pulsa listrik dan bayar air tapi sekarang play later kredivo saya sudah dibekukan tidak bisa digunakan lagi meski lancar pembayaran ok terimakasih bukalapak saya sudah dari  langganan,belanja pulsa listrik bayar air play later kredivo dibekukan lancar pembayaran ok terimakasih bukalapak langganan,"['belanja', 'pulsa', 'listrik', 'bayar', 'air', 'play', 'later', 'kredivo', 'dibekukan', 'lancar', 'pembayaran', 'ok', 'terimakasih', 'bukalapak', 'langganan']",belanja pulsa listrik bayar air play later kredivo beku lancar bayar ok terimakasih bukalapak langgan
"Payletr gk bisa dipake,makin kesini makin gk jelas bukalapak,,hrus uninstal rame rame kya nya,,",2,0,payletr gk bisa dipakemakin kesini makin gk jelas bukalapakhrus uninstal rame rame kya nya,payletr dipakemakin kesini bukalapakhrus uninstal rame rame kya,"['payletr', 'dipakemakin', 'kesini', 'bukalapakhrus', 'uninstal', 'rame', 'rame', 'kya']",payletr dipakemakin kesini bukalapakhrus uninstal rame rame kya
"Ini sudah sangat bagus, aplikasi to the point, tidak ada iklan/penawaran ini-itu sampai menutup halaman aplikasi, mengganggu konsentrasi belanja. Sekarang pikiran jadi tenang saat belanja. Meski ada biaya 1rb tiap transaksi, tdk jadi masalah, karena perusahaan harus ada profit untuk biaya operasional dll, jangan bakar uang terus-terusan. Saran, sepertinya transaksi rutin tdk bisa dibuka, mohon diperbaiki, tks!",5,1,ini sudah sangat bagus aplikasi to the point tidak ada iklanpenawaran iniitu sampai menutup halaman aplikasi mengganggu konsentrasi belanja sekarang pikiran jadi tenang saat belanja meski ada biaya rb tiap transaksi tdk jadi masalah karena perusahaan harus ada profit untuk biaya operasional dll jangan bakar uang terusterusan saran sepertinya transaksi rutin tdk bisa dibuka mohon diperbaiki tks,bagus aplikasi to the point iklanpenawaran iniitu menutup halaman aplikasi mengganggu konsentrasi belanja pikiran tenang belanja biaya rb transaksi perusahaan profit biaya operasional bakar uang terusterusan saran transaksi rutin dibuka mohon diperbaiki tks,"['bagus', 'aplikasi', 'to', 'the', 'point', 'iklanpenawaran', 'iniitu', 'menutup', 'halaman', 'aplikasi', 'mengganggu', 'konsentrasi', 'belanja', 'pikiran', 'tenang', 'belanja', 'biaya', 'rb', 'transaksi', 'perusahaan', 'profit', 'biaya', 'operasional', 'bakar', 'uang', 'terusterusan', 'saran', 'transaksi', 'rutin', 'dibuka', 'mohon', 'diperbaiki', 'tks']",bagus aplikasi to the point iklanpenawaran iniitu tutup halaman aplikasi ganggu konsentrasi belanja pikir tenang belanja biaya rb transaksi usaha profit biaya operasional bakar uang terusterusan saran transaksi rutin buka mohon baik tks
Pay later udah dibayar. Malah gabisa dipake,1,0,pay later udah dibayar malah gabisa dipake,pay later udah dibayar gabisa dipake,"['pay', 'later', 'udah', 'dibayar', 'gabisa', 'dipake']",pay later udah bayar gabisa dipake
Tlg untuk paylater nya kalo udah gak bisa lagi di gunakan embel2 nya di hapus . Dan kalo memang masih bisa tlg di perbaiki. Karna kalo gak jls seperti itu user pengguna aplikasi pasti akan memilih pindah aplikasi dan kalian akan tutup. Kalo jls palinggak user dapan memahami dan tentu masih bertransaksi seperti biasa.,1,0,tlg untuk paylater nya kalo udah gak bisa lagi di gunakan embel nya di hapus  dan kalo memang masih bisa tlg di perbaiki karna kalo gak jls seperti itu user pengguna aplikasi pasti akan memilih pindah aplikasi dan kalian akan tutup kalo jls palinggak user dapan memahami dan tentu masih bertransaksi seperti biasa,tlg paylater kalo udah embel hapus kalo tlg perbaiki karna kalo jls user pengguna aplikasi memilih pindah aplikasi tutup kalo jls palinggak user dapan memahami bertransaksi,"['tlg', 'paylater', 'kalo', 'udah', 'embel', 'hapus', 'kalo', 'tlg', 'perbaiki', 'karna', 'kalo', 'jls', 'user', 'pengguna', 'aplikasi', 'memilih', 'pindah', 'aplikasi', 'tutup', 'kalo', 'jls', 'palinggak', 'user', 'dapan', 'memahami', 'bertransaksi']",tlg paylater kalo udah embel hapus kalo tlg baik karna kalo jls user guna aplikasi pilih pindah aplikasi tutup kalo jls palinggak user dap paham transaksi
"Ada limit paater 500rb tali gak bisa digunakan dengan keterangan ""sedang Gangguan sistem"" sudah 2bulan tidak bisa digunakan parah banget",1,0,ada limit paater rb tali gak bisa digunakan dengan keterangan sedang gangguan sistem sudah bulan tidak bisa digunakan parah banget,limit paater rb tali keterangan gangguan sistem parah banget,"['limit', 'paater', 'rb', 'tali', 'keterangan', 'gangguan', 'sistem', 'parah', 'banget']",limit paater rb tali terang ganggu sistem parah banget
"Apk gak terpakai. pertanggal 31 mei paylatet kredivo sudah tidak bisa di gunakan, selamanya.. karna di putus hungan kerja.. antara kredivo dan bukalapak.. jadi ini apk.. kalo gak ada paylater.. pasti 97%.. gak bakal di pakai..",1,0,apk gak terpakai pertanggal  mei paylatet kredivo sudah tidak bisa di gunakan selamanya karna di putus hungan kerja antara kredivo dan bukalapak jadi ini apk kalo gak ada paylater pasti  gak bakal di pakai,apk terpakai pertanggal mei paylatet kredivo karna putus hungan kerja kredivo bukalapak apk kalo paylater pakai,"['apk', 'terpakai', 'pertanggal', 'mei', 'paylatet', 'kredivo', 'karna', 'putus', 'hungan', 'kerja', 'kredivo', 'bukalapak', 'apk', 'kalo', 'paylater', 'pakai']",apk pakai tanggal mei paylatet kredivo karna putus hungan kerja kredivo bukalapak apk kalo paylater pakai
"Bukalapak sangat terburuk,duit sy 700.323 gx bisa di kembaliin,masa mw pengembalian hrs ada saldo dana 500rb parah sekali aplikasi ini",1,0,bukalapak sangat terburukduit sy  gx bisa di kembaliinmasa mw pengembalian hrs ada saldo dana rb parah sekali aplikasi ini,bukalapak terburukduit sy gx kembaliinmasa mw pengembalian hrs saldo dana rb parah aplikasi,"['bukalapak', 'terburukduit', 'sy', 'gx', 'kembaliinmasa', 'mw', 'pengembalian', 'hrs', 'saldo', 'dana', 'rb', 'parah', 'aplikasi']",bukalapak terburukduit sy gx kembaliinmasa mw kembali hrs saldo dana rb parah aplikasi
Kenapa Bukalapak paylater ga bisa dipake lagi padahal udah berusaha bayar tagihan..parah banget ah..padahal dulu Bukalapak paylater jadi andalan.ga ada juga kejelasan kenapa ga bisa dipake.,1,0,kenapa bukalapak paylater ga bisa dipake lagi padahal udah berusaha bayar tagihanparah banget ahpadahal dulu bukalapak paylater jadi andalanga ada juga kejelasan kenapa ga bisa dipake,bukalapak paylater dipake udah berusaha bayar tagihanparah banget ahpadahal bukalapak paylater andalanga kejelasan dipake,"['bukalapak', 'paylater', 'dipake', 'udah', 'berusaha', 'bayar', 'tagihanparah', 'banget', 'ahpadahal', 'bukalapak', 'paylater', 'andalanga', 'kejelasan', 'dipake']",bukalapak paylater dipake udah usaha bayar tagihanparah banget ahpadahal bukalapak paylater andalanga jelas dipake
Aplikasi apa ni saya complain karena dompet dana saya ada yng bobol bukannya tanggung jawab eh mala akun sya di nonaktifkan menghilangkan BB to gak mau di Coplain........... Ksh kembali uang saya,1,0,aplikasi apa ni saya complain karena dompet dana saya ada yng bobol bukannya tanggung jawab eh mala akun sya di nonaktifkan menghilangkan bb to gak mau di coplain ksh kembali uang saya,aplikasi ni complain dompet dana yng bobol tanggung eh mala akun sya nonaktifkan menghilangkan bb to coplain uang,"['aplikasi', 'ni', 'complain', 'dompet', 'dana', 'yng', 'bobol', 'tanggung', 'eh', 'mala', 'akun', 'sya', 'nonaktifkan', 'menghilangkan', 'bb', 'to', 'coplain', 'uang']",aplikasi ni complain dompet dana yng bobol tanggung eh mala akun sya nonaktif hilang bb to coplain uang
